"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R7XNRT8D","newspaperArticle","2018","Craver, Jack","Council tries 'outcome-based' budgeting","Austin Monitor","","","","https://www.austinmonitor.com/stories/2018/02/council-tries-outcome-based-budgeting/","Last year, City Council talked about the idea of doing “outcome-based” budgeting. 2018 is the first year that it is giving it a try. The idea is based on six strategic outcomes that Council developed last year: Having economic opportunities…","2018-02-23","2025-03-28 15:49:07","2025-03-28 16:01:57","2025-03-28 15:49:07","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\HDBRGEG7\council-tries-outcome-based-budgeting.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHB9W8H9","newspaperArticle","2025","Choueiry, Lucciana","“District of Austin” Legislation Fails for a Third Time","Austin Chronicle","","","","https://www.austinchronicle.com/daily/news/2025-03-26/district-of-austin-legislation-fails-for-a-third-time/","Critics say it sends an undemocratic message","2025-03-26","2025-03-28 17:39:51","2026-08-24 23:45:37","2025-03-28 17:39:51","","","","","","","","","","","","","","en-US","","","","","","","On March 26, the Texas House Committee on State Affairs voted 11-0 to kill House Bill 274, filed by Rep. Briscoe Cain, R-Deer Park. The bill aimed to create the “District of Austin,” a new legal entity that would serve as the official seat of state government, effectively reclassifying the city as a state-run district while preserving its charter and ordinances under legislative oversight.","","C:\Users\alici\Zotero\storage\ZCKQUE9E\district-of-austin-legislation-fails-for-a-third-time.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","News","","","",""
"ZSZQ5SK8","newspaperArticle","2025","Figueiredo, Madeline de","Council members celebrate unanimous defeat of bill that proposed putting Austin under state control","Austin Monitor","","","","https://www.austinmonitor.com/stories/2025/03/council-members-celebrate-unanimous-defeat-of-bill-that-proposed-putting-austin-under-state-control/","Austin City Council members celebrated the resounding defeat of House Bill 274 on Wednesday, a bill that would have created the “District of Austin” as the state’s official seat of government. “Our message is loud and clear: local leaders are…","2025-03-28","2025-03-28 17:40:06","2026-08-24 23:43:02","2025-03-28 17:40:06","","","","","","","","","","","","","","en-US","","","","","","","The bill, introduced by state Rep. Briscoe Cain, would have granted Austin special status, placing the city’s laws, assets and debts under the control of a newly proposed district. This district would have wielded the same powers as a home-rule city, granting the state the authority to modify or revoke laws, ordinances and policies within the city of Austin.","","C:\Users\alici\Zotero\storage\7FF77838\council-members-celebrate-unanimous-defeat-of-bill-that-proposed-putting-austin-under-state-con.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","City Hall","","","",""
"EPEV75BP","newspaperArticle","2025","Moritz, John C.","Texas House panel unanimously rejects bill to put Austin under Legislature's thumb","Austin American-Statesman","","","","https://www.statesman.com/story/news/politics/state/2025/03/27/austin-to-remain-city-not-district-overseen-by-texas-legislature/82679544007/","A Texas House committee took the unusual step of unanimously voting down the bill to make Austin a district of the state and not a traditional city.","2025-03-27","2025-03-28 17:41:21","2026-08-24 23:44:37","2025-03-28 17:41:21","","","","","","","","","","","","","","en-US","","","","","","","House Bill 274 by Republican Rep. Briscoe Cain of Deer Park sought to make many of the actions of the Austin City Council subject to review by the speaker of the House and the lieutenant governor.","","C:\Users\alici\Zotero\storage\D7QYR98R\82679544007.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","State","","","",""
"4RXWJKM3","newspaperArticle","2024","Swiatecki, Chad","Council OKs $5.5M contract for website redesign, expected in late 2026","Austin Monitor","","","","https://www.austinmonitor.com/stories/2024/11/council-oks-5-5m-contract-for-website-redesign-expected-in-late-2026/","City Council has approved a six-year contract, valued at up to $5.55 million, for the redesign of the city’s website, AustinTexas.gov. The contract, awarded to TW Lrw Holdings LLC, doing business as Material Holdings LLC, has an initial three-year term…","2024-11-26","2025-03-29 20:10:37","2025-03-29 20:29:04","2025-03-29 20:10:37","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\DE5249YA\council-oks-5-5m-contract-for-website-redesign-expected-in-late-2026.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWQ3DFC6","newspaperArticle","2017","Clifton, Jo","Auditors say city's website needs improvement","Austin Monitor","","","","https://www.austinmonitor.com/stories/2017/10/auditors-says-citys-website-needs-improvement/","The Office of the City Auditor has found that although the city’s website, AustinTexas.gov, offers residents numerous online services, the website does not meet accessibility guidelines, so it is difficult for people with certain disabilities to find and use those…","2017-10-26","2025-03-29 20:13:00","2025-03-29 20:28:43","2025-03-29 20:13:00","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\AZNRX2WH\auditors-says-citys-website-needs-improvement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ATXFA9","newspaperArticle","2022","Freer, Emma","City pushes to open police personnel files to the public","Austin Monitor","","","","https://www.austinmonitor.com/stories/2022/08/city-pushes-to-open-police-personnel-files-to-the-public/","The city of Austin proposed making portions of police officers’ personnel files public, including disciplinary histories, and raising salaries 6 percent over four years during its Thursday negotiation session.  As the current contract’s Sept. 30 expiration date nears, the two…","2022-08-08","2025-03-29 20:13:44","2025-04-06 18:39:37","2025-03-29 20:13:44","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\P9BDWEM6\city-pushes-to-open-police-personnel-files-to-the-public.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDMFJ5ZZ","newspaperArticle","2013","Kanin, Michael","Council members grill staff over pace of Open Government Initiative","Austin Monitor","","","","https://www.austinmonitor.com/stories/2013/09/council-members-grill-staff-over-pace-of-open-government-initiative/","City of Austin staffers were on the defense Wednesday in the face of an audit that criticizes the city’s efforts toward electronic open government. In a lengthy presentation delivered to members of the Council’s Audit and Finance Committee, Assistant City…","2013-09-03","2025-03-29 20:16:22","2025-03-29 20:28:21","2025-03-29 20:16:22","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\CYF33S6B\council-members-grill-staff-over-pace-of-open-government-initiative.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYU2FPCS","newspaperArticle","2010","Dunbar, Wells","City Website Redesign: Pick Your Fave","Austin Chronicle","","","","https://www.austinchronicle.com/news/2010-08-06/1066093/","Three designs have been proposed in the long-gestating process of redesigning the city of Austin website, and citizens can view and vote on","2010-08-06","2025-03-29 20:18:30","2025-03-29 20:27:58","2025-03-29 20:18:30","","","","","","","City Website Redesign","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\ENIGNHTI\1066093.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NF8S67NH","newspaperArticle","2011","Dunbar, Wells","City Website Finally Reloads","Austin Chronicle","","","","https://www.austinchronicle.com/daily/news/2011-12-19/city-website-finally-reloads/","Beta version of new city portal launched today","2011-12-19","2025-03-29 20:18:49","2026-08-23 22:19:15","2025-03-29 20:18:49","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\YE7CPHBK\city-website-finally-reloads.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
